"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"1","Gymnogyps californianus","Gymnogyps californianus",8800,8100,NA,NA,NA,NA,NA,NA,NA,NA,"Cathartidae",96.5,65.3,33.2,39,115.8,323.5,41.1,350.8,"Shrubland",3,1,"Scavenger","Scavenger",30.72,37.44,35.94,-117.33,101747.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0864197530864197,NA,NA,NA
"2","Vultur gryphus","Vultur gryphus",12500,10100,NA,NA,NA,NA,NA,NA,NA,NA,"Cathartidae",96.8,64.8,30.1,29.1,127.4,350.5,44.9,359.4,"Grassland",3,2,"Scavenger","Scavenger",-55.72,10.93,-30.77,-70.34,2543680.82,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237623762376238,NA,NA,NA
"3","Pandion haliaetus","Pandion haliaetus",1403,1568,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",47,27.7,17.3,19.6,49.8,204.8,44.9,201.3,"Marine",3,3,"Carnivore","Aquatic predator",-37.8,70.69,49.18,25.45,31298390.01,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105229591836735,NA,NA,NA
"4","Aviceda jerdoni","Aviceda jerdoni",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",45.5,21.7,12.9,15.9,34.7,76.9,25.6,211,"Forest",2,1,"Carnivore","Omnivore",-5.95,28.63,6.17,107.44,1592906.95,150,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aviceda subcristata","Aviceda subcristata",307,347,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.3,19.7,11.6,14.7,36.3,134.5,40.2,202,"Forest",2,1,"Carnivore","Omnivore",-34.97,2.65,-12.44,141.78,1718124.83,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.115273775216138,NA,NA,NA
"6","Aviceda subcristata gurneyi","Aviceda subcristata",314,324,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",28.3,19.7,11.6,14.7,36.3,134.5,40.2,202,"Forest",2,1,"Carnivore","Omnivore",-34.97,2.65,-12.44,141.78,1718124.83,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308641975308642,NA,NA,NA
"7","Chondrohierax uncinatus","Chondrohierax uncinatus",264,310,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",36.2,27,12.4,18.4,33.6,59.8,21,197.6,"Forest",2,2,"Carnivore","Invertivore",-27.24,26.3,-2.71,-64.2,9787616.08,0,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148387096774194,NA,NA,NA
"8","Henicopernis longicauda","Henicopernis longicauda",447,730,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",31.7,21.6,11.2,14.3,50.4,157.2,39.4,301.4,"Forest",2,1,"Carnivore","Invertivore",-10.73,0.04,-5.35,140.86,750041.01,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.387671232876712,NA,NA,NA
"9","Pernis apivorus","Pernis apivorus",684,832,NA,NA,NA,NA,NA,NA,NA,NA,"Accipitridae",34.8,19.1,11.7,13.7,43.9,154.2,37.9,253.2,"Forest",1,3,"Carnivore","Invertivore",35.76,67.06,54.03,38.95,9317297.54,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.177884615384615,NA,NA,NA
"10","Pernis ptilorhynchus","Pernis ptilorhynchus",1069,1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18021472392638,NA,NA,NA
