class,genus,species,female_body_mass_g,male_body_mass_g
Aves,Accipiter,albogularis,352.5,223
Aves,Accipiter,badius,168.5,125
Aves,Accipiter,bicolor,390,212
Aves,Accipiter,brachyurus,-999,142
Aves,Accipiter,brevipes,230.5,170
Aves,Accipiter,castanilius,176,142.5
Aves,Accipiter,chilensis,377,212
Aves,Accipiter,chionogaster,174,103
Aves,Accipiter,cirrocephalus,231,127.25
Aves,Accipiter,cooperii,529,338.5
Aves,Accipiter,erythrauchen,-999,156
Aves,Accipiter,erythronemius,174,103
Aves,Accipiter,erythropus,146,84.7
Aves,Accipiter,fasciatus,499.375,303.25
Aves,Accipiter,francesiae,154.25,119.5
Aves,Accipiter,gentilis,1117.333334,734
Aves,Accipiter,griseiceps,299,212
Aves,Accipiter,gularis,140.75,103.5
Aves,Accipiter,gundlachi,675,-999
Aves,Accipiter,haplochrous,254,157
Aves,Accipiter,henstii,1050,-999
Aves,Accipiter,hiogaster,597.25,261.375
Aves,Accipiter,imitator,238,208
Aves,Accipiter,luteoschistaceus,-999,213.75
Aves,Accipiter,madagascariensis,209.5,156
Aves,Accipiter,melanochlamys,294,-999
Aves,Accipiter,melanoleucus,865,550
Aves,Accipiter,meyerianus,1100,530
Aves,Accipiter,minullus,97.25,80.9
Aves,Accipiter,nisus,290,147
Aves,Accipiter,novaehollandiae,716,312
Aves,Accipiter,ovampensis,260,140
Aves,Accipiter,poliocephalus,253,205
Aves,Accipiter,rhodogaster,264,113
Aves,Accipiter,rufitorques,-999,209
Aves,Accipiter,rufiventris,-999,-999
Aves,Accipiter,soloensis,192.5,149.5
Aves,Accipiter,striatus,174,103
Aves,Accipiter,superciliosus,134,73.875
Aves,Accipiter,tachiro,340.5,203.5
Aves,Accipiter,toussenelii,340.5,203.5
Aves,Accipiter,trinotatus,-999,-999
Aves,Accipiter,trivirgatus,353,199
Aves,Accipiter,ventralis,174,103
Aves,Accipiter,virgatus,141.5,101.825
Aves,Aegypius,monachus,10000,9250
Aves,Aegypius,occipitalis,-999,-999
Aves,Aquila,adalberti,3873,2624
Aves,Aquila,africana,1153,993.75
Aves,Aquila,audax,3855,3041.5
Aves,Aquila,ayresii,910,714
Aves,Aquila,chrysaetos,4692.25,3708.25
Aves,Aquila,fasciata,2500,1560
Aves,Aquila,gurneyi,3060,-999
Aves,Aquila,heliaca,3845,2949
Aves,Aquila,nipalensis,2987,2333
Aves,Aquila,rapax,2405.5,2034.6
Aves,Aquila,spilogaster,1631,1318
Aves,Aquila,verreauxii,4355.5,3665
Aves,Aviceda,cuculoides,-999,-999
Aves,Aviceda,jerdoni,-999,363
Aves,Aviceda,leuphotes,-999,-999
Aves,Aviceda,subcristata,346.875,308.75
Aves,Busarellus,nigricollis,956,613.5
Aves,Butastur,indicus,433,400.5
Aves,Butastur,liventer,-999,-999
Aves,Butastur,rufipennis,344,326
Aves,Butastur,teesa,-999,-999
Aves,Buteo,albigula,583,432.5
Aves,Buteo,albonotatus,886,628
Aves,Buteo,archeri,1330,988
Aves,Buteo,augur,1165,988
Aves,Buteo,auguralis,760,580
Aves,Buteo,bannermani,1141.5,805
Aves,Buteo,brachypterus,-999,-999
Aves,Buteo,brachyurus,583,432.5
Aves,Buteo,burmanicus,945.75,781
Aves,Buteo,buteo,945.75,781
Aves,Buteo,galapagoensis,1365.333333,961.3333333
Aves,Buteo,hemilasius,1562.5,1175
Aves,Buteo,jamaicensis,1224,1028
Aves,Buteo,japonicus,945.75,781
Aves,Buteo,lagopus,1051.5,847
Aves,Buteo,lineatus,676.75,539
Aves,Buteo,nitidus,624,429.75
Aves,Buteo,oreophilus,-999,-999
Aves,Buteo,plagiatus,624,429.75
Aves,Buteo,platypterus,490,420
Aves,Buteo,regalis,1775,1162.5
Aves,Buteo,ridgwayi,-999,-999
Aves,Buteo,rufinus,1314,1035
Aves,Buteo,rufofuscus,1330,988
Aves,Buteo,socotraensis,1314,1035
Aves,Buteo,solitarius,606,414
Aves,Buteo,swainsoni,1109,811.25
Aves,Buteo,trizonatus,-999,-999
Aves,Buteo,ventralis,1285,1103
Aves,Buteogallus,aequinoctialis,752.5,594.5
Aves,Buteogallus,anthracinus,1199,793
Aves,Buteogallus,coronatus,-999,-999
Aves,Buteogallus,gundlachii,1199,793
Aves,Buteogallus,meridionalis,893.4,849
Aves,Buteogallus,schistaceus,1000,-999
Aves,Buteogallus,solitarius,-999,-999
Aves,Buteogallus,urubitinga,1248,1065
Aves,Chelictinia,riocourii,-999,-999
Aves,Chondrohierax,uncinatus,310,264
Aves,Chondrohierax,wilsonii,310,264
Aves,Circaetus,beaudouini,1774.5,1664
Aves,Circaetus,cinerascens,-999,-999
Aves,Circaetus,cinereus,-999,-999
Aves,Circaetus,fasciolatus,1100,938.5
Aves,Circaetus,gallicus,1774.5,1664
Aves,Circaetus,pectoralis,1774.5,1664
Aves,Circus,aeruginosus,741.5,552.5
Aves,Circus,approximans,870,640
Aves,Circus,assimilis,654.25,465
Aves,Circus,buffoni,612.5,423.5
Aves,Circus,cinereus,471.25,337
Aves,Circus,cyaneus,522.5,346
Aves,Circus,hudsonius,522.5,346
Aves,Circus,macrosceles,711.5,600
Aves,Circus,macrourus,445,327
Aves,Circus,maillardi,711.5,600
Aves,Circus,maurus,-999,-999
Aves,Circus,melanoleucos,422.5,292.5
Aves,Circus,pygargus,376,264
Aves,Circus,ranivorus,-999,423
Aves,Circus,spilonotus,622.25,502.25
Aves,Circus,spilothorax,622.25,502.25
Aves,Clanga,clanga,2405,1751.5
Aves,Clanga,hastata,1643.75,1269.25
Aves,Clanga,pomarina,1643.75,1269.25
Aves,Cryptoleucopteryx,plumbea,-999,-999
Aves,Elanoides,forficatus,536,493.5
Aves,Elanus,axillaris,293,249
Aves,Elanus,caeruleus,268,237
Aves,Elanus,leucurus,317.75,274
Aves,Elanus,scriptus,343,288.6
Aves,Erythrotriorchis,buergersi,-999,575
Aves,Erythrotriorchis,radiatus,1240,635
Aves,Eutriorchis,astur,-999,-999
Aves,Gampsonyx,swainsonii,-999,94
Aves,Geranoaetus,albicaudatus,984,865
Aves,Geranoaetus,melanoleucus,2975.5,1919.5
Aves,Geranoaetus,polyosoma,1141,825
Aves,Geranospiza,caerulescens,328,279
Aves,Gypaetus,barbatus,6212.5,5075
Aves,Gypohierax,angolensis,1712,1505
Aves,Gyps,africanus,-999,-999
Aves,Gyps,bengalensis,-999,-999
Aves,Gyps,coprotheres,8525,8350
Aves,Gyps,fulvus,8525,8350
Aves,Gyps,himalayensis,9000,11000
Aves,Gyps,indicus,-999,-999
Aves,Gyps,rueppelli,-999,-999
Aves,Gyps,tenuirostris,-999,-999
Aves,Haliaeetus,albicilla,5572,4014
Aves,Haliaeetus,humilis,-999,-999
Aves,Haliaeetus,ichthyaetus,2485,1590
Aves,Haliaeetus,leucocephalus,5350,4130
Aves,Haliaeetus,leucogaster,3330,2400
Aves,Haliaeetus,leucoryphus,3088,2562
Aves,Haliaeetus,pelagicus,7885,5500
Aves,Haliaeetus,sanfordi,2400,1980
Aves,Haliaeetus,vocifer,3400,2212.75
Aves,Haliaeetus,vociferoides,3000,-999
Aves,Haliastur,indus,466,409
Aves,Haliastur,sphenurus,845,650
Aves,Hamirostra,melanosternon,-999,1196
Aves,Harpagus,bidentatus,255.5,187
Aves,Harpagus,diodon,200,-999
Aves,Harpia,harpyja,8300,4550
Aves,Harpyopsis,novaeguineae,-999,-999
Aves,Helicolestes,hamatus,426,421.5
Aves,Henicopernis,longicauda,730,447
Aves,Hieraaetus,ayresii,909.75,714
Aves,Hieraaetus,morphnoides,949,633
Aves,Hieraaetus,pennatus,975,705
Aves,Hieraaetus,wahlbergi,1223.5,641
Aves,Hieraaetus,weiskei,949,633
Aves,Ictinaetus,malaiensis,-999,-999
Aves,Ictinia,mississippiensis,311,245
Aves,Ictinia,plumbea,256.5,241
Aves,Kaupifalco,monogrammicus,310,244.25
Aves,Leptodon,cayanensis,268,261
Aves,Leptodon,forbesi,-999,-999
Aves,Leucopternis,kuhli,385,322.25
Aves,Leucopternis,melanops,341.5,312
Aves,Leucopternis,occidentalis,779,626.5
Aves,Leucopternis,semiplumbeus,325,250
Aves,Lophaetus,occipitalis,1445,1137.75
Aves,Lophoictinia,isura,670,501
Aves,Lophotriorchis,kienerii,-999,-999
Aves,Macheiramphus,alcinus,-999,-999
Aves,Megatriorchis,doriae,1000,-999
Aves,Melierax,canorus,724,548
Aves,Melierax,gabar,204,107
Aves,Melierax,metabates,846.75,670.75
Aves,Melierax,poliopterus,724,548
Aves,Micronisus,gabar,203.5,106.5
Aves,Milvus,aegyptius,850,807
