species,min_elev,max_elev
Topaza_pyra,0,400
Topaza_pella,0,500
Florisuga_fusca,0,1400
Florisuga_mellivora,0,900
Eriocnemis_glaucopoides,1500,3400
Eriocnemis_derbyi,2500,3600
Eriocnemis_vestita,2800,3500
Eriocnemis_nigrivestis,2400,4600
Eriocnemis_mosquera,1200,3600
Eriocnemis_godini,2100,2300
Eriocnemis_luciani,2800,4800
Eriocnemis_cupreoventris,2000,3000
Eriocnemis_alinae,2300,2800
Eriocnemis_isabellae,2600,2900
Eriocnemis_mirabilis,2200,2440
Haplophaedia_lugens,1200,2500
Haplophaedia_aureliae,1500,3100
Haplophaedia_assimilis,1500,2500
Pterophanes_cyanopterus,2600,3700
Ensifera_ensifera,1700,3500
Boissonneaua_matthewsii,1200,2600
Boissonneaua_flavescens,2000,3500
Boissonneaua_jardini,1200,2200
Ocreatus_underwoodii,1100,3000
Loddigesia_mirabilis,2100,2900
Urosticte_ruficrissa,1600,2400
Urosticte_benjamini,700,1600
Urochroa_bougueri,1600,2800
Heliodoxa_schreibersii,400,1000
Heliodoxa_aurescens,150,1500
Heliodoxa_rubinoides,1100,2100
Heliodoxa_leadbeateri,400,2400
Heliodoxa_jacula,300,2000
Heliodoxa_imperatrix,400,2000
Heliodoxa_xanthogonys,700,2000
Heliodoxa_branickii,750,1300
Heliodoxa_gularis,250,1050
Aglaeactis_cupripennis,2500,4300
Aglaeactis_castelnaudii,3500,4300
Aglaeactis_pamela,3000,3500
Aglaeactis_aliciae,3000,3500
Lafresnaya_lafresnayi,1800,3500
Clytolaema_rubricauda,0,1500
Coeligena_iris,1700,3300
Coeligena_helianthea,1900,3300
Coeligena_bonapartei,1400,3200
Coeligena_orina,3100,3500
Coeligena_lutetiae,2600,4800
Coeligena_phalerata,1400,3700
Coeligena_violifer,2800,3300
Coeligena_torquata,1750,3000
Coeligena_prunellei,1000,2800
Coeligena_wilsoni,700,1900
Coeligena_coeligena,1500,2600
Sephanoides_sephaniodes,0,2000
Sephanoides_fernandensis,120,660
Discosura_langsdorffi,100,300
Discosura_popelairii,500,1500
Discosura_conversii,0,1000
Discosura_letitiae,0,500
Discosura_longicaudus,0,200
Lophornis_brachylophus,900,1800
Lophornis_ornatus,100,1000
Lophornis_gouldii,0,800
Lophornis_helenae,100,1200
Lophornis_delattrei,600,2000
Lophornis_chalybeus,0,1000
Lophornis_magnificus,0,1000
Lophornis_pavoninus,500,2000
Lophornis_stictolophus,0,1300
Lophornis_adorabilis,300,1200
Oreotrochilus_adela,2600,4000
Oreotrochilus_leucopleurus,1200,4000
Oreotrochilus_estella,2400,5000
Oreotrochilus_chimborazo,3500,5200
Oreotrochilus_melanogaster,3500,4400
Opisthoprora_euryptera,2600,3600
Polyonymus_caroli,1500,3600
Metallura_tyrianthina,1500,4200
Metallura_phoebe,2700,4500
Metallura_iracunda,1850,3200
Metallura_baroni,3000,3900
Metallura_williami,2700,4000
Metallura_odomae,2600,3350
Metallura_eupogon,2900,4000
Metallura_theresiae,2900,3800
Metallura_aeneocauda,2500,3600
Oreonympha_nobilis,2500,3900
Chalcostigma_olivaceum,3600,4600
Chalcostigma_heteropogon,3000,3900
Oxypogon_guerinii,3000,5200
Chalcostigma_stanleyi,3000,4200
Chalcostigma_herrani,2700,4000
Chalcostigma_ruficeps,1400,3500
Sappho_sparganura,1500,4000
Ramphomicron_microrhynchum,1700,3600
Ramphomicron_dorsale,2000,4600
Lesbia_nuna,1700,3800
Lesbia_victoriae,2600,4000
Taphrolesbia_griseiventris,2600,3500
Aglaiocercus_berlepschi,1450,1800
Aglaiocercus_coelestis,1000,2000
Adelomyia_melanogenys,1000,2500
Heliangelus_mavors,2000,3200
Heliangelus_strophianus,1200,2800
Heliangelus_micraster,2300,3400
Heliangelus_exortis,1500,3400
Heliangelus_viola,2150,3000
Heliangelus_amethysticollis,1800,3400
Heliangelus_regalis,1250,2200
Phlogophilus_hemileucurus,500,1200
Phlogophilus_harterti,750,1500
Patagona_gigas,0,4800
Hylocharis_xantusii,1800,2200
Hylocharis_leucotis,1200,3500
Cynanthus_sordidus,900,2200
Chlorostilbon_russatus,0,2600
Chlorostilbon_canivetii,0,1900
Chlorostilbon_mellisugus,0,2700
Chlorostilbon_stenurus,1000,3000
Chlorestes_notata,0,500
Chlorostilbon_lucidus,0,3500
Chlorostilbon_olivaresi,800,1600
Chlorostilbon_poortmani,750,2200
Chlorostilbon_assimilis,0,1500
Chlorostilbon_auriceps,0,1800
Chlorostilbon_gibsoni,0,2300
Cynanthus_latirostris,0,2500
Leucippus_baeri,0,1300
Eupetomena_macroura,0,1500
Aphantochroa_cirrochloris,0,700
Leucippus_taczanowskii,350,1000
Taphrospilus_hypostictus,400,1500
Leucochloris_albicollis,0,1000
Goldmania_violiceps,600,1200
Amazilia_yucatanensis,0,1100
Amazilia_tzacatl,0,2500
Amazilia_luciae,75,345
Amazilia_rutila,0,1700
Amazilia_viridigaster,200,2100
Hylonympha_macrocerca,500,1200
Amazilia_saucerrottei,0,2000
Amazilia_violiceps,0,2250
