NK,mass,taxon_name,tail,wing chord,anterior culmen,posterior_culmen,tarsus
281704,5900,Antigone canadensis tabida,210,530,90.60,106.85,250
281706,5400,Antigone canadensis tabida,205,530,84.81,97.49,240
281711,4800,Antigone canadensis tabida,195,151,80.90,94.99,220
281714,5750,Antigone canadensis tabida,195,535,97.64,77.00,260
281724,5050,Antigone canadensis tabida,177,534,73.16,97.62,248
281722,5600,Antigone canadensis tabida,220,557,82.07,103.32,238
281723,4850,Antigone canadensis tabida,195,515,74.78,96.26,239
281727,4750,Antigone canadensis tabida,185,515,69.97,95.22,228
281726,5150,Antigone canadensis tabida,180,470,70.99,88.34,230
281725,5100,Antigone canadensis tabida,195,510,76.99,98.28,223
281716,5500,Antigone canadensis tabida,217,530,88.95,100.02,231
281703,3450,Antigone canadensis canadensis,170,440,,,185
281717,3900,Antigone canadensis canadensis,180,484,67.93,79.44,204
281713,5300,Antigone canadensis tabida,180,510,75.24,96.64,245
281728,4750,Antigone canadensis tabida,182,484,72.31,93.06,238
281702,6300,Antigone canadensis tabida,220,543,89.42,109.51,259
281720,3100,Antigone canadensis canadensis,160,430,54.73,64.50,180
281708,4400,Antigone canadensis tabida,185,505,94.98,90.95,220
281705,5300,Antigone canadensis tabida,200,515,80.05,94.20,240
281746,5300,Antigone canadensis tabida,180,505,81.44,102.34,228
281747,5100,Antigone canadensis tabida,171,548,68.83,93.01,227
281748,5000,Antigone canadensis tabida,262,529,88.75,112.96,242
281749,5650,Antigone canadensis tabida,195,540,85.80,111.60,223
281750,4600,Antigone canadensis tabida,193,580,88.94,105.65,226
281752,5750,Antigone canadensis tabida,215,523,90.11,111.22,238
281753,4300,Antigone canadensis tabida,218,523,75.69,102.29,218
281754,5400,Antigone canadensis tabida,187,544,74.49,98.27,224
281755,4600,Antigone canadensis tabida,191,546,73.59,92.10,228
281756,4700,Antigone canadensis tabida,177,489,78.26,96.68,216
281757,5450,Antigone canadensis tabida,180,574,,,180
281758,4850,Antigone canadensis tabida,186,543,85.42,106.43,240
281759,4500,Antigone canadensis tabida,175,513,73.33,92.11,222
281760,2900,Antigone canadensis canadensis,141,435,57.85,67.88,190
281761,3000,Antigone canadensis canadensis,155,44,57.25,73.94,180
281762,5400,Antigone canadensis tabida,205,535,87.44,105.65,230
281763,3100,Antigone canadensis canadensis,155,460,56.84,69.52,180
281764,5400,Antigone canadensis tabida,200,535,67.09,88.23,235
281765,5500,Antigone canadensis tabida,200,540,85.13,110.28,245
281766,5500,Antigone canadensis tabida,200,540,82.69,106.06,240
281767,4900,Antigone canadensis tabida,175,520,83.67,101.51,245
281768,6800,Antigone canadensis tabida,205,555,91.07,113.80,255
281769,5800,Antigone canadensis tabida,190,535,79.36,103.11,240
